time/steps,time/epochs,time/steps_per_second,time/dataset,time/extras_step,time/processor,time/train_step,train/q_loss,train/q,train/chi2_loss,train/actor_loss,train/reward,train/data_pts_seen,train/flops,time/validation,time/eval,eval/score,eval/reward,eval/length,eval/reward_std,step,eval/TimeLimit.truncated
30000,0,25.071476923473828,0.0019099712371826172,1.6927719116210938e-05,0.0008299350738525391,0.036469459533691406,0.6931471824645996,-0.015627920098602772,nan,nan,-2.0730839678435585e-06,7616128.0,15232256.0,5.435943603515625e-05,8.386265993118286,0.24874752273162443,789.2944934197029,685.3,258.7966849961378,30000,1.0
35000,0,25.569879231618028,0.001865386962890625,1.621246337890625e-05,0.0008726119995117188,0.036367177963256836,0.6931471824645996,-0.008075293177738786,nan,nan,-3.0123158294372842e-06,8896128.0,17792256.0,5.459785461425781e-05,4.071811199188232,0.16854571335783763,528.271905820887,326.6,4.783181765088771,35000,1.0
40000,0,25.292951839221523,0.0018837451934814453,1.621246337890625e-05,0.0013713836669921875,0.0374751091003418,0.6931471824645996,-0.003611597799230367,nan,nan,-1.3978151600895218e-06,10176128.0,20352256.0,5.53131103515625e-05,7.179834604263306,0.26930087308997946,856.186858270967,583.4,483.8033396145341,40000,1.0
45000,0,24.695753470823718,0.002270936965942383,1.811981201171875e-05,0.0010638236999511719,0.04172682762145996,0.6931471824645996,-0.0014151914417743683,nan,nan,-6.013754245941527e-07,11456128.0,22912256.0,0.00011301040649414062,2.556629180908203,0.12925473032723328,400.39656061325707,203.7,66.38903164483857,45000,1.0
50000,0,25.18427561210707,0.0018467903137207031,1.5974044799804688e-05,0.0008652210235595703,0.037489891052246094,0.6931471824645996,-0.0002732387242922414,nan,nan,-6.975907035666751e-08,12736128.0,25472256.0,5.53131103515625e-05,3.1758720874786377,0.1589184079603772,496.93914430253534,231.7,91.5615141573469,50000,1.0
55000,0,24.897095309596626,0.002116680145263672,1.6927719116210938e-05,0.0010733604431152344,0.04124188423156738,0.6931471824645996,0.00021537657531735022,nan,nan,-3.6098234522796704e-07,14016128.0,28032256.0,0.00011396408081054688,2.6753926277160645,0.11645702970148822,358.74551858902595,207.6,71.09383219010158,55000,1.0
60000,0,25.212677020258873,0.0018918514251708984,1.6689300537109375e-05,0.0008285045623779297,0.035748958587646484,0.6931471824645996,0.00039691408241924363,nan,nan,-1.5845901225475246e-07,15296128.0,30592256.0,5.507469177246094e-05,5.2697975635528564,0.16468350647455549,515.7020742623764,428.5,251.4854038681771,60000,1.0
65000,0,25.223666407331965,0.0018718242645263672,1.6689300537109375e-05,0.000827789306640625,0.036813974380493164,0.6931471824645996,0.00042954424241906965,nan,nan,-1.4030821103006018e-07,16576128.0,33152256.0,5.555152893066406e-05,11.053765535354614,0.3064007022116355,976.9309346505412,929.4,159.55107558170357,65000,1.0
70000,0,25.50515860693356,0.0018534660339355469,1.6450881958007812e-05,0.0008518695831298828,0.03646492958068848,0.6931471824645996,0.0003958961779717356,nan,nan,-4.2941908247939863e-08,17856128.0,35712256.0,5.459785461425781e-05,2.669722557067871,0.07051932351453542,209.23793227774232,210.4,32.686477975795334,70000,1.0
75000,0,25.196246149170477,0.001880645751953125,1.6689300537109375e-05,0.0008332729339599609,0.036423683166503906,0.6931471824645996,-144.41573806762696,nan,nan,0.3661899570822716,19136128.0,38272256.0,5.53131103515625e-05,3.1126978397369385,0.13889342718877662,431.7663964751264,248.9,254.1562503846862,75000,1.0
85000,0,24.60279369169087,0.0020112991333007812,1.6927719116210938e-05,0.0007948875427246094,0.04016613960266113,0.6931471824645996,-182.82703674316406,nan,nan,0.0034719433784484864,2496128.0,4992256.0,0.00010657310485839844,12.398335695266724,0.3159070435223497,1007.8700098022694,1000.0,3.601183766216188,85000,1.0
