time/steps,time/epochs,time/steps_per_second,time/dataset,time/extras_step,time/processor,time/train_step,lr/actor,train/reward_loss,train/reward,train/q_loss,train/v_loss,train/actor_loss,train/v,train/q,train/adv,train/data_pts_seen,train/flops,time/validation,time/eval,eval/score,eval/reward,eval/length,eval/reward_std,step,eval/TimeLimit.truncated
15000,0,61.12282862826589,0.0006856918334960938,7.867813110351562e-06,9.608268737792969e-05,0.015578508377075195,0.0002998334812443002,0.33434352482110263,-0.02078538897074759,0.01621873755939305,0.007250146069563926,1.4652690694332122,-0.6080552482604981,-0.6213814961314201,-0.037562814283184705,4010266.88,11562522.88,2.1457672119140625e-05,8.269635200500488,0.7374586176383191,2379.8400880492572,1000.0,17.267398086526974,15000,1.0
20000,0,60.99786909776409,0.0006504058837890625,7.152557373046875e-06,9.655952453613281e-05,0.01543569564819336,0.0002997040092642462,0.3162559024702183,0.0053924837468657645,0.01990930338203907,0.009208061431534588,1.4329454905986785,-0.25412912367284296,-0.24596423169970513,-0.04211163279088214,5369631.904,15481887.904,2.2411346435546875e-05,4.087407350540161,0.2758480373618416,877.4950777864549,485.0,13.24078298106792,20000,1.0
25000,0,81.44730655763694,0.0008482933044433594,9.298324584960938e-06,0.0001442432403564453,0.01623392105102539,0.0002995376000599746,0.3162559024702183,-0.0013146083881147206,0.020733425291255117,0.010440503472462297,1.3807639789581299,0.21650358580052853,0.2129930772278458,-0.045082688312511894,6653576.0,19325832.0,3.075599670410156e-05,5.172070503234863,0.4850205928279868,1558.2622837726474,618.7,452.19648115133623,25000,1.0
30000,0,80.59756088796625,0.0006933212280273438,8.344650268554688e-06,9.846687316894531e-05,0.011582136154174805,0.0002993342946904667,0.3162559024702183,-0.0010390282028820365,0.022887162536382673,0.011547826843336224,1.36154980802536,0.599266614407301,0.5918782807588577,-0.04669977121031843,7933576.0,23165832.0,2.2411346435546875e-05,8.271071672439575,0.8185032657507344,2643.6057552643956,1000.0,83.28470096264684,30000,1.0
35000,0,81.53650768718455,0.0006003379821777344,6.4373016357421875e-06,9.036064147949219e-05,0.011369705200195312,0.00029909414331828147,0.3162559024702183,-0.0009969704529503361,0.025425805192440747,0.012880770375952125,1.354589466571808,0.8627604485750199,0.8524228050112724,-0.04868567831115797,9213576.0,27005832.0,2.2172927856445312e-05,3.816985607147217,0.4365588586343371,1400.5400658137237,462.1,36.928830965995644,35000,1.0
40000,0,81.44285937309466,0.0006227493286132812,7.152557373046875e-06,9.202957153320312e-05,0.011565208435058594,0.00029881720519717565,0.3162559024702183,-0.00042454261804232373,0.02668326130323112,0.014148055614903569,1.328865309238434,1.1068907284736633,1.0927080750465392,-0.050797402441035956,10493576.0,30845832.0,3.0517578125e-05,6.96801495552063,0.6471191564939238,2085.823779760086,841.3,772.4212515440902,40000,1.0
45000,0,81.48343657382205,0.0008530616760253906,9.5367431640625e-06,0.00014472007751464844,0.01605987548828125,0.0002985035486574883,0.3162559024702183,-0.0012761649775784463,0.027612883936613798,0.015040392065420747,1.3238062454462052,1.2708031718730926,1.2548027564287185,-0.05209198919590562,11773576.0,34685832.0,3.147125244140625e-05,5.959394931793213,0.6633733521683532,2138.7242348421346,715.0,305.82388928904743,45000,1.0
50000,0,81.05908287966857,0.0006232261657714844,6.67572021484375e-06,9.012222290039062e-05,0.011623620986938477,0.00029815325108927524,0.3162559024702183,-0.000837014860007912,0.02889042547531426,0.016172337133437395,1.3134001784324647,1.3964547548294068,1.379137615442276,-0.05394253368931822,13053576.0,38525832.0,2.1696090698242188e-05,6.326773166656494,0.7449267733189625,2404.1457406969084,773.8,296.06965690286654,50000,1.0
55000,0,81.2496145087889,0.0008666515350341797,1.0013580322265625e-05,0.00014472007751464844,0.01639842987060547,0.0002977663989232198,0.3162559024702183,-0.0007810983283561654,0.03029730999842286,0.017159310599789025,1.3237484912872315,1.51428364610672,1.493996741771698,-0.055383627238683404,14333576.0,42365832.0,2.9802322387695312e-05,6.574243068695068,0.5513007054116701,1773.975702559785,794.0,847.504627830376,55000,1.0
60000,0,80.52835056791604,0.0008614063262939453,1.0251998901367188e-05,0.00014638900756835938,0.016271591186523438,0.0002973430876093067,0.3162559024702183,-0.001081597370444797,0.030707688007503748,0.01759293343126774,1.3237016348838806,1.577207413673401,1.5579332108497619,-0.055938410217873755,15613576.0,46205832.0,2.2411346435546875e-05,6.574288606643677,0.7872769570449701,2541.9774757632354,792.4,309.73153675973,60000,1.0
65000,0,79.4565670809955,0.0006406307220458984,6.9141387939453125e-06,9.1552734375e-05,0.011688947677612305,0.0002968834215932661,0.3162559024702183,-0.0010941149803693406,0.03355985249206424,0.018228471105918288,1.3146042672395706,1.6224353737831116,1.600751255273819,-0.05738911270909011,16893576.0,50045832.0,2.288818359375e-05,4.472181081771851,0.5599525481093269,1802.1337501907954,544.9,191.06528383581687,65000,1.0
70000,0,80.2577706527752,0.0009789466857910156,2.002716064453125e-05,0.00013756752014160156,0.01788616180419922,0.00029638751429081323,0.3162559024702183,-0.00045429001533193515,0.03515504600852728,0.01893498457595706,1.3035945281982422,1.688300888299942,1.6664511733055114,-0.05826224008155987,18173576.0,53885832.0,2.1219253540039062e-05,7.73029088973999,0.9357570599562125,3025.2167065417134,953.7,204.82301133899603,70000,1.0
